brand_name,model_name,price,CC,mileage,type_of_bike,weight_in_kg,top_speed,links
Gravton Motors ,Quanta,99000,N/A,320,Electric Bike,100,70,https://www.carandbike.com/gravton-motors-bikes/quanta
Simple Energy ,One,109999,N/A,236,Electric Bike,110,100,https://www.carandbike.com/simple-energy-bikes/one
Okaya ,Classiq,69900,N/A,200,Electric Bike,95,25,https://www.carandbike.com/okaya-bikes/classiq
Oben Electric ,Rorr,102999,N/A,200,Electric Bike,120,100,https://www.carandbike.com/oben-electric-bikes/rorr
Ola Electric ,S1,85099,N/A,181,Electric Bike,121,116,https://www.carandbike.com/ola-electric-bikes/s1
Ola Electric ,S1 Pro,120149,N/A,181,Electric Bike,125,116,https://www.carandbike.com/ola-electric-bikes/s1-pro
Revolt ,RV300,114264,N/A,180,Electric Bike,101,65,https://www.carandbike.com/revolt-bikes/rv300
Okinawa ,Praise,71990,N/A,170,Electric Bike,96,78,https://www.carandbike.com/okinawa-bikes/praise
Hero Electric ,NYX HX,67540,N/A,165,Electric Bike,73,42,https://www.carandbike.com/hero-electric-bikes/nyx-hx
Crayon Motors ,Envy,53000,N/A,160,Electric Bike,100,25,https://www.carandbike.com/crayon-motors-bikes/envy
22Kymco ,Flow,74740,N/A,160,Electric Bike,85,60,https://www.carandbike.com/22kymco-bikes/flow
Okinawa ,Okhi 90,103866,N/A,160,Electric Bike,96,90,https://www.carandbike.com/okinawa-bikes/okhi-90
Revolt ,RV400,129463,N/A,150,Electric Bike,108,65,https://www.carandbike.com/revolt-bikes/rv400
Kabira Mobility ,KM 4000,136990,N/A,150,Electric Bike,150,120,https://www.carandbike.com/kabira-mobility-bikes/km-4000
One Moto ,Electa,199000,N/A,150,Electric Bike,115,85,https://www.carandbike.com/one-moto-bikes/electa
Odysse ,Evoqis,157000,N/A,140,Electric Bike,200,80,https://www.carandbike.com/odysse-bikes/evoqis
Okinawa ,i-Praise,108749,N/A,139,Electric Bike,150,75,https://www.carandbike.com/okinawa-bikes/i-praise
Li-ions,Elektrik Spock,65000,N/A,130,Electric Bike,90,45,https://www.carandbike.com/li-ions-elektrik-bikes/spock
Tork Motors ,Kratos,102499,N/A,120,Electric Bike,120,100,https://www.carandbike.com/tork-motors-bikes/kratos
Kabira Mobility,KM 3000,126990,N/A,120,Electric Bike,150,100,https://www.carandbike.com/kabira-mobility-bikes/km-3000
EeVe ,Soul,140000,N/A,120,Electric Bike,140,55,https://www.carandbike.com/eeve-bikes/soul
BGauss ,D15,99999,N/A,115,Electric Bike,107,60,https://www.carandbike.com/bgauss-bikes/d15
Nexzu Mobility ,Dextro,47000,N/A,110,Electric Bike,62,35,https://www.carandbike.com/nexzu-mobility-bikes/dextro
BGauss ,A2,52499,N/A,110,Electric Bike,88,25,https://www.carandbike.com/bgauss-bikes/a2
Nexzu Mobility ,Dextro+,66500,N/A,110,Electric Bike,62,35,https://www.carandbike.com/nexzu-mobility-bikes/dextro-plus
Hero Electric,Photon HX,74240,N/A,108,Electric Bike,87,45,https://www.carandbike.com/hero-electric-bikes/photon-hx
Bajaj,CT 110,46413,115,104,Petrol Bike,117,90,https://www.carandbike.com/bajaj-bikes/ct-110
Atumobile ,Atum 1.0,50000,N/A,100,Electric Bike,108,25,https://www.carandbike.com/atumobile-bikes/atum-10
Okinawa,Ridge+,64998,N/A,100,Electric Bike,96,45,https://www.carandbike.com/okinawa-bikes/ridge-plus
Boom Motors ,Corbett-14,86999,N/A,100,Electric Bike,90,55,https://www.carandbike.com/boom-motors-bikes/corbett-14
Earth Energy EV ,Glyde+,92000,N/A,100,Electric Bike,110,90,https://www.carandbike.com/earth-energy-ev-bikes/glyde-plus
Ather,450-,118995,N/A,100,Electric Bike,108,80,https://www.carandbike.com/ather-bikes/450
Bajaj ,Platina 100,52915,102,96.9,Petrol Bike,117,90,https://www.carandbike.com/bajaj-bikes/platina-100
Bajaj Chetak,Chetak bikes/chetak,100000,N/A,95,Electric Bike,100,80,https://www.carandbike.com/bajaj-bikes/chetak
Bajaj CT 100,Ct 100,40794,102,89.5,Petrol Bike,114,90,https://www.carandbike.com/bajaj-bikes/ct-100
Hero ,Hf-Deluxe i3s,59800,97.2,88.5,Petrol Bike,110,90,https://www.carandbike.com/hero-bikes/hf-deluxe-i3s
TVS ,Star-City plus,65865,109.7,86,Petrol Bike,116,90,https://www.carandbike.com/tvs-bikes/star-city-plus
Hero Electric ,Flash lx,59640,N/A,85,Electric Bike,69,42,https://www.carandbike.com/hero-electric-bikes/flash-lx
Hero Electric ,Atria lx,66640,N/A,85,Electric Bike,69,25,https://www.carandbike.com/hero-electric-bikes/atria-lx
Ampere ,Zeal ex,74489,N/A,85,Electric Bike,78,50,https://www.carandbike.com/ampere-bikes/zeal-ex
Hero ,Passion-Pro i3s,67400,113.2,84,Petrol Bike,117,90,https://www.carandbike.com/hero-bikes/passion-pro-i3s
Bounce,Infinity e1,45099,N/A,83,Electric Bike,94,65,https://www.carandbike.com/bounce-bikes/infinity-e1
